author,content,country,date_time,id,language,latitude,longitude,number_of_likes,number_of_shares
Twitter,@Caspar_Lee https://t.co/yCge0nwwL9,,14/01/2017 01:05,8.20074e+17,und,,,275,42
Twitter,@PartyyParr https://t.co/ZT9FbiVv3c,,14/01/2017 01:04,8.20074e+17,und,,,47,14
Twitter,@stoutkaty We see a modeling career in your dog’s future.,,14/01/2017 01:02,8.20074e+17,en,,,23,11
Twitter,"It’s Friday the 13th! 😱

What’s the worst that could happen?",,13/01/2017 21:40,8.20023e+17,en,,,2186,690
Twitter,@TheGingerarchy The Joe Biden GIF game is strong. https://t.co/NoSlczW9m2,,13/01/2017 06:45,8.19797e+17,en,,,167,57
Twitter,"@Jack_Maynard23 Hi Bored, we’re Twitter. Nice to meet you. https://t.co/NkomJQGMys",,13/01/2017 06:44,8.19797e+17,en,,,1078,204
Twitter,@topher_andersen https://t.co/Of3d5XQcZV,,13/01/2017 06:43,8.19797e+17,und,,,77,18
Twitter,@AuntieJessieB You and us both. 😂,,13/01/2017 06:43,8.19797e+17,en,,,18,8
Twitter,@Mrs_AKirk @msbuford12 @2ndgrd_avenger This is easily our favorite kind of training. 😍,,13/01/2017 06:42,8.19797e+17,en,,,13,6
Twitter,"History is happening.
We're partnering with @NewsHour to present the U.S. Presidential
Inauguration LIVE on Twitter.
https://t.co/cXqjEOQqZn",,12/01/2017 19:12,8.19623e+17,en,,,1523,536
Twitter,"@LegacyOfPito Oh, you’re smooth. You’re real smooth.",,11/01/2017 22:37,8.19312e+17,en,,,32,15
Twitter,"@iFooYa Just to add to the love, here you go. 😍🎮 https://t.co/WgL8AtQFIX",,11/01/2017 22:37,8.19312e+17,en,,,699,120
Twitter,"@_WesBrown_24 @WayneRooney 
*Checks Twitter* 
*Sees Wes Brown made an account* https://t.co/W20BkTVOa4",,11/01/2017 22:35,8.19312e+17,en,,,526,409
Twitter,@TheDrewLynch Momma Lynch. Bless. 🙏,,11/01/2017 22:33,8.19311e+17,en,,,110,16
